AE1:1
AE2:1
C1:2
C10:2
C11:1
C12:2
C13:1
C14:2
C15:2
C16:2
C17:2
C18:2
C19:2
C2:2
C20:2
C21:2
C22:2
C23:2
C24:2
C25:2
C26:2
C27:2
C28:2
C29:2
C3:2
C30:2
C31:1
C32:1
C33:1
C34:1
C35:1
C36:1
C37:1
C38:1
C39:1
C4:1
C40:1
C41:1
C44:1
C5:2
C6:2
C7:2
C8:2
C9:2
D1:2
D2:2
D3:2
D4:1
FB1:2
J1:2
J2:2
J3:2
J4:2
J5:2
J6:2
J7:1
L1:2
L2:2
L3:2
L4:2
L5:2
L6:1
MOUSE-BITE-3MM-SLOT:3
Q1:2
Q2:1
R1:2
R10:2
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R2:2
R3:2
R4:2
R5:2
R6:2
R7:2
R8:2
R9:2
U1:2
U2:2
U3:2
U4:2
U5:1
U6:2
Y2:2
